country;iso;concept;conceptAbbr;year;Value
Luxembourg;LUX;#CI;CI;2006;0.224319137
Moldova, Republic of;MDA;#CI;CI;2006;0.527416001
Netherlands;NLD;#CI;CI;2006;0.686756053
Germany;DEU;#CI;CI;2006;0.224319137
Norway;NOR;#CI;CI;2006;0.362287685
Poland;POL;#CI;CI;2006;0.527416001
Portugal;PRT;#CI;CI;2006;0.224319137
Russian Federation;RUS;#CI;CI;2006;0.811566265
Romania;ROU;#CI;CI;2006;0.362287685
Slovakia;SVK;#CI;CI;2006;0.527416001
Slovenia;SVN;#CI;CI;2006;0.527416001
Turkey;TUR;#CI;CI;2006;0.811566265
